frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h,bev_x,bev_y
3,primary,23,1,29,29,0.035049,0.002608,0.000000,0.017785,2527.93,376.45,82.90,59.28,1728.261438,1321.252813
3,primary,24,1,25,25,0.015840,0.051121,0.000000,0.013032,0.44,691.56,68.08,47.99,1559.441321,34.646431
3,primary,25,1,48,48,0.024722,0.000203,0.000000,0.012381,2681.41,517.22,62.66,53.46,1588.213593,1337.139759
3,primary,26,1,15,15,0.057805,0.000321,0.000000,0.028935,2478.53,461.02,54.14,67.99,1635.970295,1269.054876
3,primary,27,1,24,24,0.024464,0.000090,0.000000,0.012241,457.31,834.10,102.40,51.80,1416.137359,421.415604
3,primary,28,1,28,28,0.019359,0.008233,0.000000,0.010503,2477.20,365.03,71.53,50.59,1755.773999,1303.085315
3,primary,29,1,22,22,0.010460,0.028238,0.000000,0.008054,2654.47,451.87,91.92,58.53,1642.880986,1350.629154
3,primary,30,1,13,13,0.016865,0.000116,0.000000,0.008444,2605.24,592.27,117.56,124.55,1479.364989,1283.860816
3,primary,31,1,21,21,0.045589,0.002319,0.000000,0.023026,1084.09,863.98,86.35,60.24,1379.098312,714.915862
3,primary,32,1,35,35,0.014911,0.000729,0.000000,0.007529,455.62,880.72,64.47,50.23,1385.482605,433.885855
3,primary,33,1,26,26,0.035857,0.005453,0.000000,0.018474,2110.55,440.03,50.67,109.71,1636.594011,1110.854081
3,primary,34,1,34,34,0.017259,0.001520,0.000000,0.008782,2568.06,392.26,72.87,53.80,1714.283895,1332.737641
3,primary,35,1,30,30,0.011747,0.000024,0.000000,0.005876,2684.02,464.86,67.58,55.32,1632.780223,1354.188583
3,primary,36,1,44,44,0.012471,0.000411,0.000000,0.006277,1774.37,221.36,71.74,43.69,2075.792875,943.671589
3,primary,37,1,41,41,0.023988,0.012082,0.000000,0.013202,2445.36,349.06,57.74,39.89,1791.663876,1293.866986
3,primary,38,1,56,56,0.035623,0.000310,0.000000,0.017843,1655.33,1186.96,35.00,52.34,1226.197574,939.923713
3,primary,39,0,1,1,0.107334,1.000000,0.000000,inf,2196.70,1283.39,36.08,48.46,1196.097671,1085.736826
3,primary,40,1,40,40,0.038370,0.000670,0.000000,0.019252,2104.96,277.84,39.45,57.00,1904.072099,1131.913961
3,primary,41,1,42,42,0.018325,0.001223,0.000000,0.009285,364.41,829.46,58.25,44.09,1427.897081,355.986775
3,primary,42,1,50,50,0.037654,0.000906,0.000000,0.018917,954.85,915.74,89.90,47.81,1357.398046,672.341414
3,primary,43,1,36,36,0.012363,0.001479,0.000000,0.006329,335.48,878.43,77.98,45.98,1391.973063,375.181920
3,primary,44,1,39,39,0.021704,0.000058,0.000000,0.010858,1071.44,782.81,52.42,39.21,1447.817561,676.047362
3,primary,45,1,55,55,0.014364,0.001259,0.000000,0.007308,512.27,889.17,56.10,42.20,1384.275674,459.049074
3,primary,46,1,38,38,0.017342,0.021470,0.000000,0.010818,1692.73,188.45,71.07,45.36,2160.071537,881.493659
3,primary,47,1,37,37,0.023298,0.003319,0.000000,0.011981,2110.01,340.18,39.80,48.36,1824.720326,1126.931400
3,primary,48,1,31,31,0.013298,0.001185,0.000000,0.006768,2611.85,568.27,70.79,60.45,1543.733522,1298.199294
3,primary,49,0,1,1,0.114253,1.000000,0.000000,inf,1179.26,1427.13,86.90,69.03,1139.194110,831.340860
3,primary,50,1,43,43,0.012962,0.034360,0.000000,0.009917,2425.91,329.53,57.44,42.40,1815.410615,1290.041933
3,primary,51,1,46,46,0.017363,0.000039,0.000000,0.008685,3074.10,797.42,68.04,39.74,1397.968161,1390.257651
3,primary,52,0,1,1,0.142897,1.000000,0.000000,inf,826.93,1511.09,100.25,68.79,1112.299079,747.096329
3,primary,53,0,7,7,0.091323,0.261695,0.000000,0.071831,2995.63,693.45,50.85,40.10,1459.448434,1392.993375
3,primary,54,1,53,53,0.034527,0.000942,0.000000,0.017358,2116.75,393.72,42.07,49.10,1753.647435,1123.744742
3,primary,55,1,52,52,0.022467,0.001601,0.000000,0.011393,2841.66,215.94,100.58,46.64,1922.747450,1539.982232
3,unconfirmed,0,1,58,58,0.017758,0.000142,0.000000,0.008893,893.49,1402.83,87.87,68.34,1143.928041,748.751753
3,unconfirmed,1,1,59,59,0.020086,0.003057,0.000000,0.010349,2196.70,1283.39,36.08,48.46,1196.097671,1085.736826
3,unconfirmed,2,1,61,61,0.023158,0.000006,0.000000,0.011580,1179.26,1427.13,86.90,69.03,1139.194110,831.340860
3,unconfirmed,3,0,58,58,0.075677,0.819097,0.000000,0.119748,826.93,1511.09,100.25,68.79,1112.299079,747.096329
3,unconfirmed,4,1,60,60,0.020037,0.001190,0.000000,0.010137,2995.63,693.45,50.85,40.10,1459.448434,1392.993375
4,primary,0,1,5,5,0.018231,0.000070,0.965092,0.395159,1316.08,763.47,346.67,135.17,1388.816775,854.179549
4,primary,1,1,11,11,0.025277,0.000030,0.995511,0.410846,1235.48,879.80,132.19,64.60,1364.569782,788.278875
4,primary,2,1,9,9,0.029994,0.000277,0.989485,0.410819,1942.93,821.21,138.41,77.20,1380.840140,1043.032751
4,primary,3,1,1,1,0.018992,0.000015,0.999953,0.409479,2829.88,803.25,157.50,83.32,1374.938540,1322.591587
4,primary,4,1,4,4,0.031025,0.000204,0.999574,0.415363,2175.82,740.99,101.66,80.56,1422.305649,1120.554949
4,primary,5,1,2,7,0.025132,0.000012,0.911860,0.377311,2849.22,675.90,80.09,84.11,1446.093812,1345.792818
4,primary,6,1,3,13,0.038331,0.000089,0.997339,0.418110,2773.67,658.65,70.04,91.47,1454.045917,1323.150679
4,primary,7,1,6,6,0.018936,0.007470,0.969205,0.397897,117.57,690.05,71.96,42.71,1560.307116,107.915031
4,primary,8,1,7,7,0.023066,0.000006,0.143828,0.069065,2936.25,698.99,79.44,81.97,1431.735222,1366.691615
4,primary,9,1,12,13,0.021141,0.000147,0.941797,0.387304,2536.44,616.06,92.54,64.73,1506.905442,1263.793075
4,primary,10,1,27,27,0.024218,0.000093,0.948564,0.391544,1262.69,938.64,124.20,73.48,1327.134661,807.416104
4,primary,11,1,8,8,0.016879,0.001420,0.985880,0.402934,283.00,658.34,74.09,43.94,1583.285966,189.141361
4,primary,12,1,23,45,0.027056,0.000331,0.696768,0.292268,2674.89,258.29,305.68,137.13,1754.435281,1443.861830
4,primary,13,1,14,14,0.027058,0.000014,0.495114,0.211576,1066.02,925.81,91.69,60.28,1343.214772,722.444490
4,primary,14,1,20,45,0.048701,0.000129,0.347335,0.163297,2463.95,547.12,95.27,62.93,1564.025925,1252.966572
4,primary,15,1,10,13,0.013116,0.000107,0.578992,0.238165,2482.95,588.11,103.70,61.49,1531.734827,1253.245220
4,primary,16,1,33,33,0.041819,0.000033,0.991071,0.417341,2115.35,556.58,45.89,70.18,1565.856490,1104.623813
4,primary,17,1,19,51,0.020201,0.000097,0.387341,0.165047,591.16,889.10,75.54,44.81,1381.101025,501.487934
4,primary,18,1,32,32,0.028140,0.000108,0.548286,0.233395,902.19,862.54,112.64,51.56,1388.192256,641.302250
4,primary,19,1,17,45,0.013149,0.000140,0.954397,0.388347,2603.18,417.85,73.35,55.55,1682.980629,1338.496115
4,primary,20,1,21,14,0.052029,0.012714,0.988820,0.422814,1083.17,865.23,111.00,62.63,1376.701662,720.402869
4,primary,21,1,16,13,0.022887,0.000104,0.893267,0.368760,2714.23,648.32,44.73,84.30,1466.991115,1304.189440
4,primary,22,1,25,25,0.025718,0.105234,0.274071,0.133011,0.77,690.99,56.81,45.87,1562.538775,28.138357
