0,56,1665.80,1187.68,31.24,51.76,0.08,-1,-1,-1
1,1,2827.73,803.24,159.97,83.36,0.89,-1,-1,-1
1,2,2847.97,675.98,81.94,84.50,0.88,-1,-1,-1
1,3,2774.91,658.36,68.71,91.34,0.87,-1,-1,-1
1,4,2151.67,753.01,111.78,82.96,0.89,-1,-1,-1
1,5,1285.10,762.30,344.61,133.80,0.93,-1,-1,-1
1,6,137.71,689.18,68.55,45.82,0.85,-1,-1,-1
1,7,2937.25,698.27,77.90,81.80,0.84,-1,-1,-1
1,8,299.14,658.80,72.55,43.51,0.75,-1,-1,-1
1,9,1913.35,828.45,143.01,72.67,0.89,-1,-1,-1
1,10,2482.18,587.57,100.66,62.07,0.83,-1,-1,-1
1,11,1234.43,878.03,133.66,66.11,0.89,-1,-1,-1
1,12,2537.60,619.54,87.64,61.51,0.81,-1,-1,-1
1,13,2603.72,591.24,119.81,124.57,0.65,-1,-1,-1
1,14,1066.00,926.66,90.52,59.92,0.82,-1,-1,-1
1,15,2479.00,462.75,53.98,66.32,0.70,-1,-1,-1
1,16,2714.51,651.15,45.56,80.34,0.70,-1,-1,-1
1,17,2603.16,417.16,74.46,56.29,0.70,-1,-1,-1
1,18,86.23,667.13,63.70,34.13,0.65,-1,-1,-1
1,19,590.86,889.48,77.34,45.05,0.70,-1,-1,-1
1,20,2463.88,550.77,96.30,61.22,0.75,-1,-1,-1
1,21,1084.01,867.75,78.16,56.26,0.52,-1,-1,-1
1,22,2652.47,449.59,93.40,57.11,0.60,-1,-1,-1
1,23,2672.81,257.69,303.89,139.85,0.84,-1,-1,-1
1,24,459.39,833.62,99.90,51.35,0.67,-1,-1,-1
1,25,1.46,691.60,72.41,44.16,0.47,-1,-1,-1
1,26,2108.39,438.47,52.61,113.93,0.37,-1,-1,-1
1,27,1262.10,939.29,124.66,70.80,0.79,-1,-1,-1
1,28,2478.21,366.37,62.22,48.18,0.62,-1,-1,-1
1,29,2529.02,377.25,71.69,57.95,0.55,-1,-1,-1
1,30,2684.40,464.84,67.54,55.16,0.46,-1,-1,-1
1,31,2610.43,569.24,71.59,55.74,0.41,-1,-1,-1
1,32,902.00,861.23,112.87,52.13,0.66,-1,-1,-1
1,33,2114.54,556.71,46.10,71.11,0.41,-1,-1,-1
1,34,2569.95,395.68,67.14,50.45,0.43,-1,-1,-1
1,35,457.25,877.00,66.17,52.95,0.57,-1,-1,-1
1,36,334.64,878.81,77.01,46.51,0.37,-1,-1,-1
1,37,2109.47,338.83,40.94,52.68,0.29,-1,-1,-1
1,38,1695.33,189.99,78.19,44.50,0.29,-1,-1,-1
1,39,1061.25,781.00,50.12,40.75,0.24,-1,-1,-1
1,40,2104.15,275.36,38.94,59.47,0.32,-1,-1,-1
1,41,2443.66,345.82,60.20,40.58,0.36,-1,-1,-1
1,42,368.37,830.68,52.87,42.16,0.35,-1,-1,-1
1,43,2427.62,331.59,64.14,41.07,0.28,-1,-1,-1
1,44,1774.59,222.12,71.31,43.15,0.36,-1,-1,-1
1,46,3074.67,797.47,67.25,39.81,0.21,-1,-1,-1
1,47,2420.21,128.97,57.14,35.99,0.09,-1,-1,-1
1,48,2682.38,517.56,61.89,53.13,0.48,-1,-1,-1
1,49,1671.42,182.76,61.96,39.39,0.10,-1,-1,-1
1,50,954.62,915.11,89.28,48.75,0.49,-1,-1,-1
1,52,2841.47,215.76,100.04,47.03,0.15,-1,-1,-1
1,53,2116.90,390.08,42.26,49.69,0.13,-1,-1,-1
1,55,500.20,887.46,67.92,43.39,0.18,-1,-1,-1
1,56,1660.94,1189.03,31.29,51.47,0.22,-1,-1,-1
2,1,2829.65,803.22,157.96,83.39,0.89,-1,-1,-1
2,2,2849.27,675.89,80.39,84.34,0.88,-1,-1,-1
2,3,2773.22,658.63,70.42,91.63,0.87,-1,-1,-1
2,4,2163.37,747.20,110.26,81.54,0.87,-1,-1,-1
2,5,1302.41,762.75,344.20,134.58,0.92,-1,-1,-1
2,6,128.24,689.56,70.26,43.03,0.84,-1,-1,-1
2,7,2936.31,698.29,79.26,82.29,0.83,-1,-1,-1
2,8,289.65,658.33,73.41,44.50,0.78,-1,-1,-1
2,9,1930.10,825.36,135.64,75.13,0.91,-1,-1,-1
2,10,2483.08,589.10,102.43,60.48,0.80,-1,-1,-1
2,11,1234.88,880.16,132.81,63.91,0.89,-1,-1,-1
2,12,2536.50,617.85,92.11,62.80,0.81,-1,-1,-1
2,13,2605.24,592.27,117.56,124.55,0.57,-1,-1,-1
2,14,1066.00,927.42,91.55,58.83,0.82,-1,-1,-1
2,15,2478.53,461.02,54.14,67.99,0.60,-1,-1,-1
2,16,2714.09,649.40,45.35,82.19,0.67,-1,-1,-1
2,17,2602.94,417.54,73.19,55.73,0.69,-1,-1,-1
2,18,80.61,668.42,58.97,33.13,0.64,-1,-1,-1
2,19,590.94,889.16,76.05,44.97,0.71,-1,-1,-1
2,20,2463.05,547.80,97.22,63.46,0.80,-1,-1,-1
2,21,1084.09,863.98,86.35,60.24,0.55,-1,-1,-1
2,22,2654.47,451.87,91.92,58.53,0.57,-1,-1,-1
2,23,2673.99,257.45,305.98,138.30,0.80,-1,-1,-1
2,24,457.31,834.10,102.40,51.80,0.60,-1,-1,-1
2,25,0.44,691.56,68.08,47.99,0.61,-1,-1,-1
2,26,2110.55,440.03,50.67,109.71,0.49,-1,-1,-1
2,27,1263.00,938.28,124.67,72.78,0.83,-1,-1,-1
2,28,2477.20,365.03,71.53,50.59,0.60,-1,-1,-1
2,29,2527.93,376.45,82.90,59.28,0.61,-1,-1,-1
2,30,2684.02,464.86,67.58,55.32,0.47,-1,-1,-1
2,31,2611.85,568.27,70.79,60.45,0.28,-1,-1,-1
2,32,902.30,862.64,112.97,51.22,0.62,-1,-1,-1
2,33,2115.45,556.01,45.78,71.25,0.67,-1,-1,-1
2,34,2568.06,392.26,72.87,53.80,0.48,-1,-1,-1
2,35,455.62,880.72,64.47,50.23,0.50,-1,-1,-1
2,36,335.48,878.43,77.98,45.98,0.36,-1,-1,-1
