frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h
3,primary,54,1,53,53,0.034527,0.000942,0.000000,0.017358,2116.75,393.72,42.07,49.10
3,primary,55,1,52,52,0.022467,0.001601,0.000000,0.011393,2841.66,215.94,100.58,46.64
3,unconfirmed,0,1,58,58,0.017758,0.000142,0.000000,0.008893,893.49,1402.83,87.87,68.34
3,unconfirmed,1,1,59,59,0.020086,0.003057,0.000000,0.010349,2196.70,1283.39,36.08,48.46
3,unconfirmed,2,1,61,61,0.023158,0.000006,0.000000,0.011580,1179.26,1427.13,86.90,69.03
3,unconfirmed,3,0,58,58,0.075677,0.819097,0.000000,0.119748,826.93,1511.09,100.25,68.79
3,unconfirmed,4,1,60,60,0.020037,0.001190,0.000000,0.010137,2995.63,693.45,50.85,40.10
4,primary,0,1,5,5,0.018231,0.000070,0.965092,0.395159,1316.08,763.47,346.67,135.17
4,primary,1,1,11,11,0.025277,0.000030,0.995511,0.410846,1235.48,879.80,132.19,64.60
4,primary,2,1,9,9,0.029994,0.000277,0.989485,0.410819,1942.93,821.21,138.41,77.20
4,primary,3,1,1,1,0.018992,0.000015,0.999953,0.409479,2829.88,803.25,157.50,83.32
4,primary,4,1,4,4,0.031025,0.000204,0.999574,0.415363,2175.82,740.99,101.66,80.56
4,primary,5,1,2,7,0.025132,0.000012,0.911860,0.377311,2849.22,675.90,80.09,84.11
4,primary,6,1,3,13,0.038331,0.000089,0.997339,0.418110,2773.67,658.65,70.04,91.47
4,primary,7,1,6,6,0.018936,0.007470,0.969205,0.397897,117.57,690.05,71.96,42.71
4,primary,8,1,7,7,0.023066,0.000006,0.143828,0.069065,2936.25,698.99,79.44,81.97
4,primary,9,1,12,13,0.021141,0.000147,0.941797,0.387304,2536.44,616.06,92.54,64.73
4,primary,10,1,27,27,0.024218,0.000093,0.948564,0.391544,1262.69,938.64,124.20,73.48
4,primary,11,1,8,8,0.016879,0.001420,0.985880,0.402934,283.00,658.34,74.09,43.94
4,primary,12,1,23,45,0.027056,0.000331,0.696768,0.292268,2674.89,258.29,305.68,137.13
4,primary,13,1,14,14,0.027058,0.000014,0.495114,0.211576,1066.02,925.81,91.69,60.28
4,primary,14,1,20,45,0.048701,0.000129,0.347335,0.163297,2463.95,547.12,95.27,62.93
4,primary,15,1,10,13,0.013116,0.000107,0.578992,0.238165,2482.95,588.11,103.70,61.49
4,primary,16,1,33,33,0.041819,0.000033,0.991071,0.417341,2115.35,556.58,45.89,70.18
4,primary,17,1,19,51,0.020201,0.000097,0.387341,0.165047,591.16,889.10,75.54,44.81
4,primary,18,1,32,32,0.028140,0.000108,0.548286,0.233395,902.19,862.54,112.64,51.56
4,primary,19,1,17,45,0.013149,0.000140,0.954397,0.388347,2603.18,417.85,73.35,55.55
4,primary,20,1,21,14,0.052029,0.012714,0.988820,0.422814,1083.17,865.23,111.00,62.63
4,primary,21,1,16,13,0.022887,0.000104,0.893267,0.368760,2714.23,648.32,44.73,84.30
4,primary,22,1,25,25,0.025718,0.105234,0.274071,0.133011,0.77,690.99,56.81,45.87
4,primary,23,1,29,45,0.036859,0.001403,0.728432,0.309943,2527.98,376.86,84.40,58.89
4,primary,24,1,58,58,0.015001,0.000017,0.000000,0.007502,893.77,1402.43,86.91,68.10
4,primary,25,1,28,45,0.025491,0.000191,0.188689,0.088240,2477.32,364.18,79.91,52.22
4,primary,26,1,15,45,0.076703,0.000048,0.858251,0.381657,2478.87,460.65,53.83,68.61
4,primary,27,1,48,45,0.026384,0.000075,0.506031,0.215612,2681.68,517.05,62.82,53.62
4,primary,28,1,13,13,0.018178,0.000221,0.152890,0.070267,2605.57,590.28,117.52,125.53
4,primary,29,1,22,22,0.012089,0.007478,0.014226,0.012483,2654.06,451.70,92.87,58.59
4,primary,30,1,18,18,0.016486,0.015560,0.998703,0.409280,69.10,667.39,60.27,33.57
4,primary,31,1,26,26,0.028797,0.002335,0.993544,0.412050,2111.00,439.51,50.45,110.54
4,primary,32,1,24,51,0.023824,0.000114,0.845394,0.350081,456.78,834.04,103.05,52.18
4,primary,33,1,41,45,0.023634,0.009032,0.199742,0.092617,2445.70,349.83,57.99,39.40
4,primary,34,1,34,45,0.017666,0.003449,0.589375,0.244928,2564.29,390.36,72.94,54.42
4,primary,35,1,44,44,0.014725,0.000365,0.971376,0.395949,1774.24,221.36,71.82,43.78
4,primary,36,1,35,51,0.016866,0.000472,0.429862,0.180425,455.50,879.59,64.18,51.47
4,primary,37,1,30,45,0.012709,0.000135,0.749282,0.306081,2683.08,464.44,68.40,55.40
4,primary,38,1,59,59,0.020485,0.000134,0.000000,0.010256,2199.33,1286.17,37.66,46.37
4,primary,39,1,42,42,0.021512,0.000417,0.217235,0.097692,360.11,827.64,62.03,46.52
4,primary,40,1,40,40,0.042425,0.000552,0.243790,0.118784,2106.46,280.60,37.56,53.60
4,primary,41,1,61,61,0.016056,0.000001,0.000000,0.008028,1179.45,1427.25,86.44,68.71
4,primary,42,1,36,51,0.017742,0.000823,0.375698,0.159233,336.94,876.81,73.59,46.68
4,primary,43,1,56,56,0.038113,0.000083,0.877034,0.369879,1649.13,1188.36,37.86,49.29
4,primary,44,1,49,49,0.043915,0.268281,0.000000,0.048786,1692.60,188.41,73.20,45.51
4,primary,45,1,51,51,0.093499,0.080012,0.000000,0.054751,513.65,889.84,54.34,41.80
4,primary,46,1,45,45,0.108051,0.243636,0.000000,0.078389,2649.10,445.05,72.80,50.72
4,primary,47,1,37,37,0.025461,0.013341,0.998577,0.413495,2110.05,338.25,39.58,50.73
4,primary,48,1,50,50,0.038810,0.000095,0.530502,0.231615,954.22,914.85,90.65,48.89
4,primary,49,1,31,45,0.017464,0.001869,0.603567,0.250346,2612.56,566.88,72.85,63.41
4,primary,50,0,1,1,0.082855,1.000000,0.999953,inf,2077.29,1267.67,34.65,51.77
4,primary,51,1,43,43,0.012017,0.005564,0.020604,0.014807,2426.05,329.53,56.49,41.94
4,primary,52,1,46,46,0.019891,0.000011,0.390957,0.166329,3074.37,797.10,67.91,40.00
4,primary,53,0,18,18,0.044384,0.365904,0.998703,0.458264,35.55,673.84,65.95,37.24
4,primary,54,0,58,58,0.071871,0.705408,0.000000,0.106476,828.27,1510.59,97.86,68.80
4,primary,55,1,60,60,0.017886,0.000890,0.000000,0.009032,2995.40,693.86,51.30,39.53
4,primary,56,1,53,53,0.029489,0.017912,0.987149,0.411395,2117.16,392.38,42.09,49.18
4,primary,57,1,52,52,0.024916,0.000353,0.121680,0.061166,2841.44,215.71,100.29,46.95
4,primary,58,0,5,5,0.091703,0.903730,0.965092,0.522261,1318.42,765.21,75.54,42.09
4,primary,59,1,39,39,0.017152,0.001485,0.999907,0.408687,1079.77,784.00,53.78,39.73
4,primary,60,0,1,1,0.074808,1.000000,0.999953,inf,2447.89,1180.20,35.79,88.31
4,unconfirmed,0,0,62,62,0.098035,1.000000,0.000000,inf,2077.29,1267.67,34.65,51.77
4,unconfirmed,1,0,62,62,0.150513,1.000000,0.000000,inf,35.55,673.84,65.95,37.24
4,unconfirmed,2,1,62,62,0.005070,0.000015,0.000000,0.002537,828.27,1510.59,97.86,68.80
4,unconfirmed,3,0,62,62,0.090104,1.000000,0.000000,inf,1318.42,765.21,75.54,42.09
4,unconfirmed,4,0,62,62,0.121474,1.000000,0.000000,inf,2447.89,1180.20,35.79,88.31
5,primary,0,1,11,11,0.022570,0.000003,0.236239,0.105781,1235.77,879.25,131.75,65.28
5,primary,1,1,9,9,0.022362,0.000628,0.990771,0.407552,1959.03,817.14,136.27,77.65
5,primary,2,1,1,1,0.016421,0.000042,0.973258,0.397518,2828.76,803.20,158.86,83.74
5,primary,3,1,4,4,0.037004,0.000555,0.997368,0.417505,2184.73,731.47,97.90,84.53
5,primary,4,1,2,13,0.022383,0.000012,0.347539,0.150209,2849.56,675.91,79.36,83.59
5,primary,5,1,3,13,0.034522,0.000012,0.629169,0.268930,2773.52,658.65,70.28,91.91
5,primary,6,1,6,6,0.018823,0.000914,0.017721,0.016591,110.20,690.42,69.33,42.00
5,primary,7,1,12,13,0.021410,0.000015,0.336161,0.145171,2536.60,615.46,92.70,65.41
5,primary,8,1,7,7,0.020391,0.000013,0.072383,0.039150,2936.97,698.97,78.48,82.19
5,primary,9,1,27,27,0.023528,0.000096,0.913480,0.377166,1263.43,938.82,124.21,73.54
5,primary,10,1,14,14,0.023630,0.000041,0.316640,0.138475,1066.12,925.42,91.21,60.24
5,primary,11,1,20,20,0.045928,0.001901,0.480544,0.215371,2463.28,547.52,96.05,63.55
5,primary,12,1,8,8,0.016298,0.001564,0.949656,0.388168,272.66,658.92,75.76,43.65
5,primary,13,1,10,13,0.013747,0.000047,0.357471,0.149866,2483.10,587.48,103.85,62.14
5,primary,14,1,23,23,0.028063,0.000305,0.620568,0.262289,2684.02,258.90,296.88,136.47
5,primary,15,1,33,33,0.037797,0.000165,0.727236,0.309810,2115.74,556.76,45.57,70.15
5,primary,16,1,32,32,0.023405,0.000068,0.249328,0.111441,902.34,862.09,111.63,52.04
5,primary,17,1,19,19,0.016572,0.000173,0.490313,0.204428,591.58,888.90,76.25,44.31
5,primary,18,1,5,5,0.022890,0.000122,0.015214,0.017543,1329.12,761.99,353.00,139.41
5,primary,19,1,17,45,0.013558,0.000038,0.588867,0.242330,2602.97,418.47,74.66,54.94
5,primary,20,1,18,18,0.018903,0.016697,0.635542,0.265338,58.06,666.33,64.81,35.76
5,primary,21,1,29,29,0.030978,0.000294,0.358546,0.158937,2528.74,377.65,84.60,57.96
5,primary,22,1,15,15,0.074764,0.000040,0.016423,0.043955,2478.92,460.77,53.84,68.34
5,primary,23,1,26,26,0.027290,0.000188,0.746223,0.312153,2110.57,439.37,50.76,110.52
5,primary,24,1,21,14,0.044497,0.010661,0.840667,0.359581,1083.37,865.26,112.62,63.45
5,primary,25,1,58,62,0.015294,0.000002,0.949120,0.387295,894.00,1402.73,86.17,67.40
5,primary,26,1,28,28,0.025202,0.001168,0.200067,0.092744,2477.50,363.53,82.78,53.47
5,primary,27,1,16,13,0.020992,0.000035,0.897336,0.369434,2714.32,648.40,44.36,84.50
5,primary,28,1,22,22,0.010989,0.001263,0.046738,0.024316,2653.22,451.37,94.89,58.72
5,primary,29,1,48,45,0.024644,0.000054,0.413231,0.177620,2681.76,516.83,63.09,53.59
5,primary,30,1,13,13,0.018212,0.000021,0.002710,0.010192,2605.34,590.74,117.93,125.24
5,primary,31,1,34,34,0.019749,0.013866,0.763293,0.316578,2568.09,392.78,75.71,53.73
5,primary,32,1,41,43,0.021980,0.005395,0.634399,0.265289,2445.87,349.99,57.51,38.83
5,primary,33,1,25,25,0.034858,0.000333,0.081426,0.050033,0.59,691.54,47.60,44.71
5,primary,34,1,24,24,0.023240,0.000030,0.141164,0.068089,456.17,833.99,104.36,52.62
5,primary,35,1,35,35,0.016446,0.000340,0.173806,0.077779,455.80,878.62,63.87,51.96
5,primary,36,1,45,45,0.073181,0.981736,0.000000,0.134764,2585.59,407.13,73.29,50.11
5,primary,37,1,42,42,0.019478,0.000315,0.032684,0.022844,358.32,827.26,63.87,46.87
5,primary,38,1,61,61,0.016411,0.000001,0.919520,0.376014,1179.29,1426.91,86.19,68.91
5,primary,39,1,40,40,0.040389,0.000174,0.055605,0.042454,2107.49,281.03,36.88,53.08
5,primary,40,1,44,44,0.013719,0.000072,0.458152,0.190128,1774.61,221.17,71.57,43.98
5,primary,41,1,36,36,0.019855,0.000200,0.024402,0.019708,336.65,876.88,72.95,46.34
5,primary,42,0,35,35,0.036509,0.204746,0.515122,0.244778,455.50,857.06,77.27,54.60
5,primary,43,1,51,51,0.073995,0.087982,0.000000,0.045795,514.49,887.42,52.87,47.02
5,primary,44,1,49,49,0.039893,0.329872,0.328553,0.184355,1694.71,188.94,70.72,45.13
5,primary,45,1,31,13,0.015800,0.004313,0.982117,0.401178,2612.02,565.18,75.79,64.41
5,primary,46,0,59,59,0.076940,0.575793,0.987400,0.491010,2081.69,1271.26,35.94,47.08
5,primary,47,1,59,59,0.028651,0.001425,0.987400,0.409428,2208.47,1283.95,33.68,45.91
5,primary,48,1,37,37,0.025163,0.007503,0.542005,0.230134,2110.26,339.45,39.26,50.88
5,primary,49,1,39,39,0.023909,0.008212,0.988455,0.408158,1091.56,782.96,53.36,38.75
5,primary,50,1,56,56,0.034247,0.000033,0.590486,0.253321,1645.07,1188.00,36.05,47.97
5,primary,51,1,43,43,0.013731,0.006504,0.226894,0.098274,2428.04,329.73,55.94,42.17
5,primary,52,1,50,50,0.030526,0.000062,0.513222,0.220558,954.79,915.38,90.54,48.02
5,primary,53,1,46,46,0.018902,0.000056,0.149235,0.069151,3074.54,797.56,67.66,39.77
5,primary,54,1,30,30,0.021436,0.017459,0.115303,0.058585,2687.53,463.00,63.31,52.20
5,primary,55,0,1,1,0.099372,1.000000,0.973258,inf,1674.51,182.98,72.52,41.49
5,primary,56,1,62,62,0.007872,0.000006,0.000000,0.003937,828.55,1510.46,97.34,68.88
5,primary,57,1,60,7,0.013750,0.000010,0.728293,0.298193,2995.82,694.16,50.92,39.11
5,primary,58,1,53,53,0.023108,0.000042,0.306693,0.134235,2117.14,394.08,41.68,47.71
5,primary,59,0,1,1,0.124375,1.000000,0.973258,inf,2.16,1708.30,488.55,486.23
5,primary,60,1,52,52,0.024324,0.000015,0.348025,0.151374,2841.62,215.90,99.90,46.68
5,unconfirmed,0,0,63,63,0.103781,1.000000,0.000000,inf,455.50,857.06,77.27,54.60
5,unconfirmed,1,1,63,63,0.012080,0.002861,0.000000,0.006326,2081.69,1271.26,35.94,47.08
5,unconfirmed,2,0,63,63,0.113183,1.000000,0.000000,inf,1674.51,182.98,72.52,41.49
5,unconfirmed,3,0,63,63,0.113161,1.000000,0.000000,inf,2.16,1708.30,488.55,486.23
6,primary,0,1,11,11,0.021429,0.000150,0.275795,0.121048,1235.91,878.86,130.75,65.23
6,primary,1,1,1,1,0.016855,0.000017,0.147987,0.067624,2829.95,803.55,157.76,83.54
6,primary,2,1,2,13,0.018832,0.000090,0.917569,0.376453,2849.72,675.96,79.20,83.88
6,primary,3,1,4,4,0.034758,0.000105,0.844954,0.355371,2194.67,723.03,92.48,85.98
6,primary,4,1,9,9,0.022472,0.000750,0.907356,0.374254,1976.99,811.67,131.10,78.50
6,primary,5,1,3,13,0.028805,0.000016,0.290734,0.130698,2773.56,658.78,70.08,91.73
6,primary,6,1,5,5,0.022328,0.000737,0.705523,0.293447,1345.77,764.90,349.96,142.05
6,primary,7,1,12,13,0.017329,0.000008,0.371141,0.157122,2536.67,615.07,92.71,65.78
6,primary,8,1,6,6,0.016223,0.002234,0.956609,0.390979,97.91,689.76,72.41,43.35
6,primary,9,1,7,7,0.019356,0.000082,0.226371,0.100235,2936.42,699.17,79.18,81.60
6,primary,10,1,14,14,0.020823,0.000057,0.028567,0.021844,1066.23,925.54,91.00,60.23
6,primary,11,1,27,27,0.018286,0.000179,0.826514,0.339766,1263.40,939.50,124.48,72.47
6,primary,12,1,20,20,0.037492,0.000057,0.339923,0.154721,2463.38,547.66,95.92,63.19
6,primary,13,1,8,8,0.014746,0.003596,0.993247,0.405032,267.45,659.60,73.50,41.49
6,primary,14,1,10,13,0.010600,0.000041,0.281841,0.118041,2482.92,587.14,104.16,62.45
6,primary,15,1,23,23,0.025296,0.001596,0.469774,0.200717,2675.93,258.63,304.37,136.81
6,primary,16,1,32,32,0.019746,0.000015,0.036148,0.024334,902.22,861.92,111.56,52.24
6,primary,17,1,33,33,0.031867,0.000030,0.285240,0.130033,2115.95,556.67,45.31,70.33
6,primary,18,1,26,26,0.023538,0.000032,0.280068,0.123799,2110.47,439.61,50.89,110.17
6,primary,19,1,19,19,0.013074,0.000165,0.095244,0.044651,591.62,889.08,76.52,44.10
6,primary,20,1,17,17,0.011658,0.000098,0.252266,0.106745,2602.99,418.81,75.10,54.94
6,primary,21,1,29,34,0.026617,0.000189,0.305241,0.135424,2529.55,378.10,84.10,57.75
6,primary,22,1,21,14,0.037225,0.010774,0.679477,0.291481,1082.39,865.39,113.45,62.08
6,primary,23,1,28,28,0.024111,0.001739,0.191368,0.088777,2477.56,362.44,84.40,54.58
6,primary,24,1,15,15,0.064799,0.000016,0.208003,0.115602,2478.86,460.87,54.07,68.41
6,primary,25,1,16,13,0.019523,0.000024,0.169350,0.077504,2714.03,648.69,44.58,85.04
